,Денис,Макс,Уля,Карина,Лёня,Олег,Янык,Мэйн
Эстетичность:,Денис,Макс,Уля,Карина,Лёня,Олег,Янык,Мэйн
1,Адмирал Котэна,Выбрала вилку,Дев♡чка в♡лшебница Усаги-чан,Выбрала вилку,Выбрала вилку,Выбрала вилку,Бандерокошкодівка,Адмирал Котэна
2,Бандерокошкодівка,Адмирал Котэна,Выбрала вилку,Файний козак,Адмирал Котэна,Дев♡чка в♡лшебница Усаги-чан,Адмирал Котэна,Дев♡чка в♡лшебница Усаги-чан
3,Выбрала вилку,Дев♡чка в♡лшебница Усаги-чан,Бандерокошкодівка,Безымянный.txt,Бандерокошкодівка,Файний козак,Дев♡чка в♡лшебница Усаги-чан,Файний козак
4,Дев♡чка в♡лшебница Усаги-чан,Бандерокошкодівка,Файний козак,Бандерокошкодівка,Дев♡чка в♡лшебница Усаги-чан,Кошмар крипера,Файний козак,Выбрала вилку
5,Безымянный.txt,Файний козак,Адмирал Котэна,Кошмар крипера,Кошмар крипера,Бандерокошкодівка,Безымянный.txt,Кошмар крипера
6,Кошмар крипера,Безымянный.txt,Кошмар крипера,Адмирал Котэна,Файний козак,Безымянный.txt,Кошмар крипера,Безымянный.txt
Культурность:,Денис,Макс,Уля,Карина,Лёня,Олег,Янык,Мэйн
1,Бандерокошкодівка,Бандерокошкодівка,Бандерокошкодівка,Файний козак,Бандерокошкодівка,Бандерокошкодівка,Бандерокошкодівка,Файний козак
2,Адмирал Котэна,Дев♡чка в♡лшебница Усаги-чан,Файний козак,Бандерокошкодівка,Кошмар крипера,Дев♡чка в♡лшебница Усаги-чан,Файний козак,Адмирал Котэна
3,Выбрала вилку,Адмирал Котэна,Дев♡чка в♡лшебница Усаги-чан,Кошмар крипера,Адмирал Котэна,Кошмар крипера,Адмирал Котэна,Дев♡чка в♡лшебница Усаги-чан
4,Дев♡чка в♡лшебница Усаги-чан,Выбрала вилку,Адмирал Котэна,Безымянный.txt,Дев♡чка в♡лшебница Усаги-чан,Выбрала вилку,Дев♡чка в♡лшебница Усаги-чан,Выбрала вилку
5,Безымянный.txt,Безымянный.txt,Кошмар крипера,Адмирал Котэна,Файний козак,Файний козак,Безымянный.txt,Кошмар крипера
6,Кошмар крипера,Файний козак,Выбрала вилку,Выбрала вилку,Выбрала вилку,Безымянный.txt,Кошмар крипера,Безымянный.txt
Всратость:,Денис,Макс,Уля,Карина,Лёня,Олег,Янык,Мэйн
1,Кошмар крипера,Безымянный.txt,Безымянный.txt,Кошмар крипера,Файний козак,Кошмар крипера,Кошмар крипера,Безымянный.txt
2,Безымянный.txt,Файний козак,Кошмар крипера,Безымянный.txt,Кошмар крипера,Безымянный.txt,Безымянный.txt,Кошмар крипера
3,Дев♡чка в♡лшебница Усаги-чан,Дев♡чка в♡лшебница Усаги-чан,Адмирал Котэна,Адмирал Котэна,Бандерокошкодівка,Дев♡чка в♡лшебница Усаги-чан,Дев♡чка в♡лшебница Усаги-чан,Дев♡чка в♡лшебница Усаги-чан
4,Бандерокошкодівка,Бандерокошкодівка,Файний козак,Файний козак,Дев♡чка в♡лшебница Усаги-чан,Бандерокошкодівка,Бандерокошкодівка,Выбрала вилку
5,Выбрала вилку,Адмирал Котэна,Дев♡чка в♡лшебница Усаги-чан,Бандерокошкодівка,Адмирал Котэна,Файний козак,Файний козак,Адмирал Котэна
6,Адмирал Котэна,Выбрала вилку,Бандерокошкодівка,Выбрала вилку,Выбрала вилку,Выбрала вилку,Адмирал Котэна,Файний козак
